ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.64344,3.45124,4.86621,0.53423,3.37769,-1.60296,6109,2016-04-03 23:59:05:254
0.64344,3.45124,4.86621,0.53423,3.37769,-1.60296,6209,2016-04-03 23:59:05:354
-2.13922,6.87256,10.66378,-1.00108,0.14328,-1.32466,6310,2016-04-03 23:59:05:455
-1.44969,2.75094,9.76056,-0.93903,0.77232,0.73876,6410,2016-04-03 23:59:05:555
0.23583,4.20063,9.31165,0.03036,-0.55873,1.11666,6509,2016-04-03 23:59:05:654
-0.40941,2.49476,9.69592,-0.45806,-0.15819,0.29455,6610,2016-04-03 23:59:05:755
1.21206,2.09912,10.24898,-0.10946,-0.54941,0.28309,6712,2016-04-03 23:59:05:857
1.21206,2.09912,10.24898,-0.10946,-0.54941,0.28309,6810,2016-04-03 23:59:05:955
1.30843,2.58574,8.43956,-0.10972,-0.20453,0.26925,6910,2016-04-03 23:59:06:055
1.86927,1.56581,10.09276,-0.1273,0.28895,0.26578,7009,2016-04-03 23:59:06:154
0.97743,0.9918,9.37689,0.15872,0.19015,0.05673,7109,2016-04-03 23:59:06:254
0.66319,2.12605,10.33637,-0.21731,-0.56992,-0.19201,7210,2016-04-03 23:59:06:355
2.43191,1.78907,8.58501,-0.17737,-0.60347,0.16645,7309,2016-04-03 23:59:06:454
2.43191,1.78907,8.58501,-0.17737,-0.60347,0.16645,7410,2016-04-03 23:59:06:555
2.57856,0.59795,9.44513,-0.35047,0.16059,0.06045,7510,2016-04-03 23:59:06:655
0.17059,2.17154,9.05308,0.17337,0.81466,0.11212,7609,2016-04-03 23:59:06:754
-0.01496,2.07697,9.13987,-0.1012,0.67405,0.2554,7709,2016-04-03 23:59:06:854
0.16221,1.55743,9.77732,0.00107,0.18323,0.11052,7810,2016-04-03 23:59:06:955
0.27473,0.75896,9.54927,-0.18988,-0.0522,0.00905,7909,2016-04-03 23:59:07:054
0.27473,0.75896,9.54927,-0.18988,-0.0522,0.00905,8009,2016-04-03 23:59:07:154
1.1995,0.19273,10.74817,-0.08762,-0.11691,-0.13236,8109,2016-04-03 23:59:07:254
0.72664,1.25696,8.9615,0.22131,-0.1992,-0.39761,8209,2016-04-03 23:59:07:354
0.59256,2.04884,10.0341,0.17817,0.1534,-0.13076,8310,2016-04-03 23:59:07:455
0.48961,2.09493,10.30165,0.12464,0.06418,-0.06205,8409,2016-04-03 23:59:07:554
0.63327,2.21344,9.10635,-0.02237,0.14168,0.13955,8509,2016-04-03 23:59:07:654
0.63327,2.21344,9.10635,-0.02237,0.14168,0.13955,8610,2016-04-03 23:59:07:755
0.14664,0.81642,9.72046,0.06099,0.4791,0.06764,8709,2016-04-03 23:59:07:854
-0.57281,1.42515,9.56184,-0.04341,0.15287,-0.08229,8809,2016-04-03 23:59:07:954
-0.48303,1.81181,9.3739,0.06764,0.07617,-0.155,8910,2016-04-03 23:59:08:055
0.11372,1.45029,9.85932,-0.04421,-0.08442,-0.11798,9009,2016-04-03 23:59:08:154
