ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.8567,8.6712,4.49152,-0.01625,-0.00293,-0.01598,208609,2016-04-04 00:02:27:754
1.84533,8.64008,4.45621,-0.00879,-0.00479,-0.02264,208709,2016-04-04 00:02:27:854
1.88065,8.63648,4.52205,-0.01145,-0.0032,-0.02184,208810,2016-04-04 00:02:27:955
1.84892,8.64666,4.44184,-0.00746,-0.00293,-0.02157,208909,2016-04-04 00:02:28:054
1.84892,8.64666,4.44184,-0.00746,-0.00293,-0.02157,209010,2016-04-04 00:02:28:155
1.85311,8.6299,4.44962,-0.01465,0.00107,-0.02344,209110,2016-04-04 00:02:28:255
1.8573,8.64666,4.39935,-0.03462,-0.00799,-0.01545,209209,2016-04-04 00:02:28:354
1.90818,8.6311,4.54958,-0.02503,-0.00932,-0.01092,209310,2016-04-04 00:02:28:455
1.85311,8.6305,4.49212,-0.02583,-0.0016,-0.02344,209410,2016-04-04 00:02:28:555
1.86927,8.60476,4.54659,-0.03276,-0.00293,-0.01704,209510,2016-04-04 00:02:28:655
1.86927,8.60476,4.54659,-0.03276,-0.00293,-0.01704,209610,2016-04-04 00:02:28:755
1.90938,8.57962,4.56694,0.01358,-0.00186,-0.02796,209709,2016-04-04 00:02:28:854
1.86508,8.61194,4.52205,0.00905,0.0024,-0.02237,209809,2016-04-04 00:02:28:954
1.90938,8.62092,4.54539,0.03941,-0.00399,-0.03356,209910,2016-04-04 00:02:29:055
1.88603,8.62511,4.38199,0.05646,-8.0E-4,-0.03995,210009,2016-04-04 00:02:29:154
1.86149,8.69993,4.38558,-0.0221,-0.00879,-0.01119,210109,2016-04-04 00:02:29:254
1.86149,8.69993,4.38558,-0.0221,-0.00879,-0.01119,210209,2016-04-04 00:02:29:354
1.82318,8.6724,4.45621,0.05087,-0.00133,-0.03915,210309,2016-04-04 00:02:29:454
1.80882,8.76158,4.22517,-0.01198,0.00399,-0.03249,210410,2016-04-04 00:02:29:555
1.89561,8.64845,4.57891,-0.03835,0.00133,-0.02104,210510,2016-04-04 00:02:29:655
1.85311,8.7963,4.13539,0.07324,8.0E-4,-0.04208,210610,2016-04-04 00:02:29:755
1.81899,8.76038,4.28502,-0.02743,0.0,-0.02956,210709,2016-04-04 00:02:29:854
1.84294,8.70771,4.35445,-0.05033,-0.00346,-0.00905,210810,2016-04-04 00:02:29:955
1.84294,8.70771,4.35445,-0.05033,-0.00346,-0.00905,210909,2016-04-04 00:02:30:054
1.7747,8.79809,4.28083,-0.00905,0.01598,-0.0261,211009,2016-04-04 00:02:30:154
1.90339,8.61015,4.42448,-0.04953,-0.00426,-0.01252,211109,2016-04-04 00:02:30:254
1.86329,8.66043,4.46399,0.00107,-0.00213,-0.02637,211210,2016-04-04 00:02:30:355
1.82318,8.68976,4.23594,-0.00985,-0.00932,-0.02796,211309,2016-04-04 00:02:30:454
1.87885,8.6317,4.50888,-0.08203,-0.01571,0.0,211410,2016-04-04 00:02:30:555
1.87885,8.6317,4.50888,-0.08203,-0.01571,0.0,211509,2016-04-04 00:02:30:654
1.90339,8.65564,4.29639,0.0229,0.00266,-0.03995,211609,2016-04-04 00:02:30:754
1.86448,8.62392,4.24073,2.7E-4,0.00719,-0.03063,211709,2016-04-04 00:02:30:854
1.91596,8.70532,4.42149,-0.02743,-0.01438,-5.3E-4,211809,2016-04-04 00:02:30:954
1.86448,8.69514,4.48075,-0.06099,-0.00586,-0.01625,211909,2016-04-04 00:02:31:054
1.85491,8.63888,4.56933,0.01864,-0.00133,-0.03782,212009,2016-04-04 00:02:31:154
1.85491,8.63888,4.56933,0.01864,-0.00133,-0.03782,212109,2016-04-04 00:02:31:254
1.9836,8.61374,4.43167,-0.03116,0.0024,-0.01438,212209,2016-04-04 00:02:31:354
1.92673,8.60356,4.59148,-0.0277,0.00293,-0.02104,212310,2016-04-04 00:02:31:455
1.88364,8.61374,4.48254,0.02929,-0.00186,-0.02077,212410,2016-04-04 00:02:31:555
1.89381,8.6311,4.38079,0.03515,-0.0016,-0.03515,212509,2016-04-04 00:02:31:654
1.85132,8.67898,4.46339,0.01465,-0.00186,-0.03435,212610,2016-04-04 00:02:31:755
1.85132,8.67898,4.46339,0.01465,-0.00186,-0.03435,212709,2016-04-04 00:02:31:854
1.82139,8.68377,4.42089,0.02583,0.00186,-0.03649,212810,2016-04-04 00:02:31:955
1.83575,8.68437,4.34907,0.03462,-0.00107,-0.03542,212910,2016-04-04 00:02:32:055
1.79386,8.74841,4.25091,0.00879,-2.7E-4,-0.03249,213010,2016-04-04 00:02:32:155
1.816,8.75619,4.48015,-0.01704,-0.00799,-0.01065,213110,2016-04-04 00:02:32:255
1.8184,8.72268,4.3347,-0.01518,0.00186,-0.03409,213209,2016-04-04 00:02:32:354
1.8184,8.72268,4.3347,-0.01518,0.00186,-0.03409,213310,2016-04-04 00:02:32:455
1.86987,8.68497,4.38019,-0.03862,-0.0016,-0.01784,213410,2016-04-04 00:02:32:555
1.85251,8.66162,4.38139,-0.0269,-0.00399,-0.01944,213509,2016-04-04 00:02:32:654
1.85431,8.66103,4.42508,-0.01358,-0.0024,-0.02237,213610,2016-04-04 00:02:32:755
1.82498,8.64786,4.34907,-0.00533,0.00107,-0.03116,213710,2016-04-04 00:02:32:855
1.78607,8.64786,4.45142,-0.0783,-0.01012,-0.00639,213809,2016-04-04 00:02:32:954
1.78607,8.64786,4.45142,-0.0783,-0.01012,-0.00639,213909,2016-04-04 00:02:33:054
1.90339,8.59758,4.5023,-0.02823,-0.0024,-0.02184,214011,2016-04-04 00:02:33:156
1.89082,8.60955,4.42209,-0.01571,-2.7E-4,-0.02477,214109,2016-04-04 00:02:33:254
1.86029,8.63349,4.46638,-0.01092,-0.00479,-0.03782,214209,2016-04-04 00:02:33:354
1.91895,8.6311,4.4999,8.0E-4,-5.3E-4,-0.0261,214311,2016-04-04 00:02:33:456
1.86568,8.61613,4.53761,-0.02876,-0.00213,-0.0277,214410,2016-04-04 00:02:33:555
1.86568,8.61613,4.53761,-0.02876,-0.00213,-0.0277,214510,2016-04-04 00:02:33:655
1.88364,8.61613,4.53701,0.00852,-0.00666,-0.02317,214609,2016-04-04 00:02:33:754
1.87586,8.64606,4.44903,0.01704,-0.00453,-0.03009,214716,2016-04-04 00:02:33:861
1.84174,8.66462,4.48973,0.00879,-0.00666,-0.02663,214810,2016-04-04 00:02:33:955
1.81002,8.65444,4.50948,0.04714,0.01065,-0.05033,214909,2016-04-04 00:02:34:054
1.75435,8.6694,4.29101,0.02157,-0.00399,-0.02796,215009,2016-04-04 00:02:34:154
1.75435,8.6694,4.29101,0.02157,-0.00399,-0.02796,215109,2016-04-04 00:02:34:254
1.8567,8.68078,4.36463,0.01571,-0.00613,-0.03009,215210,2016-04-04 00:02:34:355
1.81241,8.69993,4.49033,-0.01065,-0.00373,-0.01465,215310,2016-04-04 00:02:34:455
1.8166,8.72746,4.28502,0.00746,0.00666,-0.03808,215410,2016-04-04 00:02:34:555
1.83516,8.69454,4.36702,-0.01811,-0.00799,-0.01145,215510,2016-04-04 00:02:34:655
1.82199,8.69574,4.31794,-0.02264,-0.00719,-0.0245,215609,2016-04-04 00:02:34:754
1.82199,8.69574,4.31794,-0.02264,-0.00719,-0.0245,215709,2016-04-04 00:02:34:854
1.75076,8.755,4.42867,-0.01997,-0.01012,-0.01198,215809,2016-04-04 00:02:34:954
1.92733,8.67958,4.4173,-0.00826,-0.00905,-0.01438,215909,2016-04-04 00:02:35:054
1.88244,8.67898,4.39695,-0.01651,-0.00293,-0.02264,216010,2016-04-04 00:02:35:155
1.85491,8.68317,4.43047,-0.00426,-0.00719,-0.01891,216110,2016-04-04 00:02:35:255
1.87466,8.71549,4.35505,-0.00133,0.00613,-0.03063,216209,2016-04-04 00:02:35:354
1.87466,8.71549,4.35505,-0.00133,0.00613,-0.03063,216309,2016-04-04 00:02:35:454
1.80882,8.67838,4.4592,-0.07936,-0.00879,-0.00959,216409,2016-04-04 00:02:35:554
1.82678,8.6299,4.4999,-0.0221,-0.00346,-0.02051,216509,2016-04-04 00:02:35:654
1.85371,8.6299,4.45681,-0.03009,-0.00746,-0.02796,216610,2016-04-04 00:02:35:755
1.90698,8.60177,4.56215,-0.00346,-0.00399,-0.02104,216709,2016-04-04 00:02:35:854
1.89262,8.60297,4.40533,-0.01545,-0.01145,-0.01172,216810,2016-04-04 00:02:35:955
1.89262,8.60297,4.40533,-0.01545,-0.01145,-0.01172,216910,2016-04-04 00:02:36:055
1.83755,8.63349,4.4999,-0.01864,-0.00266,-0.02876,217009,2016-04-04 00:02:36:154
1.89262,8.62152,4.48554,0.0,-0.00506,-0.02184,217110,2016-04-04 00:02:36:255
1.84593,8.6281,4.4167,0.01731,-0.00266,-0.02131,217209,2016-04-04 00:02:36:354
1.84832,8.62631,4.38558,0.01358,0.0,-0.03409,217310,2016-04-04 00:02:36:455
1.88962,8.68916,4.48614,0.0032,-0.00373,-0.02077,217409,2016-04-04 00:02:36:554
1.88962,8.68916,4.48614,0.0032,-0.00373,-0.02077,217510,2016-04-04 00:02:36:655
1.86808,8.67898,4.40713,0.0016,-0.00533,-0.01465,217610,2016-04-04 00:02:36:755
1.86329,8.66103,4.41431,0.0032,-0.00293,-0.0285,217709,2016-04-04 00:02:36:854
1.89202,8.73345,4.42688,0.04501,0.00266,-0.04714,217810,2016-04-04 00:02:36:955
1.80822,8.74063,4.38259,0.02903,8.0E-4,-0.03515,217911,2016-04-04 00:02:37:056
1.83037,8.73465,4.34667,0.01758,-0.00852,-0.01438,218010,2016-04-04 00:02:37:155
1.83037,8.73465,4.34667,0.01758,-0.00852,-0.01438,218110,2016-04-04 00:02:37:255
1.85251,8.76158,4.30896,-0.04927,-0.00453,-0.02131,218209,2016-04-04 00:02:37:354
1.8184,8.75979,4.24552,0.00826,-2.7E-4,-0.02796,218311,2016-04-04 00:02:37:456
1.80403,8.65743,4.21918,-0.049,-0.00506,-0.01491,218410,2016-04-04 00:02:37:555
1.82618,8.69035,4.33171,-0.01704,-0.00373,-0.02237,218509,2016-04-04 00:02:37:654
1.87047,8.69574,4.41311,-0.0261,-0.00852,-0.01305,218609,2016-04-04 00:02:37:754
1.87047,8.69574,4.41311,-0.0261,-0.00852,-0.01305,218709,2016-04-04 00:02:37:854
1.88005,8.61733,4.47237,-0.04394,-0.00613,-0.00932,218810,2016-04-04 00:02:37:955
1.81301,8.66402,4.36882,-0.03302,0.0,-0.0253,218910,2016-04-04 00:02:38:055
1.88005,8.58381,4.50589,-0.01012,-0.00719,-0.02397,219010,2016-04-04 00:02:38:155
1.82019,8.64666,4.36283,0.02876,-0.00453,-0.02423,219110,2016-04-04 00:02:38:255
1.8974,8.65504,4.53043,-0.03302,-0.00293,-0.01838,219210,2016-04-04 00:02:38:355
1.8974,8.65504,4.53043,-0.03302,-0.00293,-0.01838,219312,2016-04-04 00:02:38:457
1.81062,8.68497,4.39994,-0.00346,-0.0024,-0.01571,219409,2016-04-04 00:02:38:554
1.91776,8.62392,4.42389,-0.02423,-0.00479,-0.0221,219510,2016-04-04 00:02:38:655
1.88244,8.65265,4.49571,-0.02423,-0.00479,-0.0221,219609,2016-04-04 00:02:38:754
1.87945,8.60237,4.35445,-0.00399,-0.00613,-0.01625,219710,2016-04-04 00:02:38:855
1.88484,8.67419,4.47536,-0.00107,-0.01065,-0.01411,219810,2016-04-04 00:02:38:955
1.85311,8.70292,4.39755,0.02929,-0.00666,-0.03089,219910,2016-04-04 00:02:39:055
1.85311,8.70292,4.39755,0.0221,0.0,-0.02823,220009,2016-04-04 00:02:39:154
1.8591,8.6694,4.40713,0.03036,-0.00506,-0.03782,220109,2016-04-04 00:02:39:254
1.83276,8.71011,4.2934,-0.02637,-0.00479,-0.01971,220209,2016-04-04 00:02:39:354
1.83875,8.63469,4.40713,-0.02637,-0.00479,-0.01971,220309,2016-04-04 00:02:39:454
1.82199,8.68437,4.24612,0.00852,0.00186,-0.02983,220410,2016-04-04 00:02:39:555
1.83575,8.67898,4.30477,0.00959,-0.00692,-0.01784,220510,2016-04-04 00:02:39:655
1.83575,8.67898,4.30477,-0.02983,-0.01358,-0.01891,220609,2016-04-04 00:02:39:754
1.85371,8.71549,4.33829,-0.04421,-0.01332,-0.00666,220710,2016-04-04 00:02:39:855
1.90698,8.61853,4.33889,-0.0237,-0.00826,-0.02184,220810,2016-04-04 00:02:39:955
1.84533,8.66521,4.37481,-0.0237,-0.00826,-0.02184,220910,2016-04-04 00:02:40:055
1.86927,8.69993,4.34308,0.00559,-0.00399,-0.02743,221010,2016-04-04 00:02:40:155
1.86927,8.65085,4.41311,-0.03222,-0.00426,-0.01092,221111,2016-04-04 00:02:40:256
1.86927,8.65085,4.41311,-0.01571,-0.00799,-0.0277,221209,2016-04-04 00:02:40:354
1.84473,8.65803,4.38917,0.00186,0.00213,-0.0269,221310,2016-04-04 00:02:40:455
1.99617,8.65504,4.61602,-0.03409,2.7E-4,-0.02956,221410,2016-04-04 00:02:40:555
1.83336,8.64367,4.48614,-0.03409,2.7E-4,-0.02956,221510,2016-04-04 00:02:40:655
1.97103,8.64786,4.45022,-0.04021,0.00133,-0.00826,221610,2016-04-04 00:02:40:755
1.95427,8.58262,4.57412,-0.05486,-0.00959,-0.01518,221710,2016-04-04 00:02:40:855
1.95427,8.58262,4.57412,0.01598,0.00533,-0.03755,221809,2016-04-04 00:02:40:954
1.89561,8.66342,4.46698,0.04048,0.01385,-0.0498,221909,2016-04-04 00:02:41:054
1.86987,8.68018,4.38857,-0.00186,-0.00479,-0.02557,222009,2016-04-04 00:02:41:154
1.79026,8.66761,4.42089,-0.00186,-0.00479,-0.02557,222110,2016-04-04 00:02:41:255
1.82259,8.70173,4.42867,0.01758,2.7E-4,-0.02876,222209,2016-04-04 00:02:41:354
1.8597,8.69275,4.3371,0.01065,-0.00852,-0.02716,222310,2016-04-04 00:02:41:455
1.8597,8.69275,4.3371,0.02397,-0.00985,-0.02796,222410,2016-04-04 00:02:41:555
1.81181,8.7137,4.43945,-0.01704,-0.00932,-0.00533,222511,2016-04-04 00:02:41:656
1.85431,8.66761,4.42927,0.02903,-0.00639,-0.02184,222610,2016-04-04 00:02:41:755
1.86448,8.74243,4.38079,0.02903,-0.00639,-0.02184,222709,2016-04-04 00:02:41:854
1.83635,8.73944,4.31675,0.02423,-0.00453,-0.03116,222809,2016-04-04 00:02:41:954
1.75675,8.68497,4.2958,0.02557,0.0032,-0.04847,222910,2016-04-04 00:02:42:055
1.75675,8.68497,4.2958,-0.00346,0.00373,-0.03249,223009,2016-04-04 00:02:42:154
1.7346,8.7526,4.26886,-0.03542,0.0,-0.01598,223110,2016-04-04 00:02:42:255
1.84653,8.77714,4.32273,-0.04181,-0.00213,-0.01278,223209,2016-04-04 00:02:42:354
1.86748,8.67479,4.42867,-0.04181,-0.00213,-0.01278,223309,2016-04-04 00:02:42:454
1.79206,8.68257,4.33171,-0.04394,0.00559,-0.02237,223410,2016-04-04 00:02:42:555
1.89621,8.65564,4.53761,-0.02583,-5.3E-4,-0.01598,223509,2016-04-04 00:02:42:654
1.89621,8.65564,4.53761,0.01039,-0.0024,-0.03169,223610,2016-04-04 00:02:42:755
1.91476,8.68676,4.41072,0.00799,-0.00186,-0.03941,223710,2016-04-04 00:02:42:855
1.78069,8.71968,4.37241,-0.01411,-0.0245,-0.01305,223810,2016-04-04 00:02:42:955
1.87526,8.66162,4.39994,-0.01411,-0.0245,-0.01305,223910,2016-04-04 00:02:43:055
1.84114,8.68018,4.35386,-0.0269,-0.00293,-0.02184,224009,2016-04-04 00:02:43:154
1.87945,8.6311,4.45621,-0.02503,-0.00373,-0.01997,224109,2016-04-04 00:02:43:254
1.87945,8.6311,4.45621,-0.04607,-0.0016,-0.00453,224210,2016-04-04 00:02:43:355
1.8166,8.61853,4.34607,-0.01598,-2.7E-4,-0.02903,224309,2016-04-04 00:02:43:454
1.84174,8.70951,4.36882,-0.00186,-0.00533,-0.02477,224409,2016-04-04 00:02:43:554
1.96983,8.64786,4.51906,-0.00186,-0.00533,-0.02477,224511,2016-04-04 00:02:43:656
1.71066,8.61075,4.52863,0.06045,5.3E-4,-0.04767,224609,2016-04-04 00:02:43:754
1.9818,8.8382,4.10306,0.06205,-0.00826,-0.02051,224709,2016-04-04 00:02:43:854
1.9818,8.8382,4.10306,-0.04794,-0.01625,0.00266,224809,2016-04-04 00:02:43:954
1.95906,8.49463,4.43406,0.01465,0.01411,-0.0514,224910,2016-04-04 00:02:44:055
1.87466,8.7532,4.28083,-0.01598,-8.0E-4,-0.0221,225009,2016-04-04 00:02:44:154
1.87765,8.7131,4.29939,-0.01598,-8.0E-4,-0.0221,225109,2016-04-04 00:02:44:254
1.83575,8.73225,4.42508,0.00266,-0.00932,-0.01758,225209,2016-04-04 00:02:44:354
1.72263,8.85316,4.28562,0.03595,0.01385,-0.05965,225311,2016-04-04 00:02:44:456
1.72263,8.85316,4.28562,-0.04155,-0.00453,-0.02024,225409,2016-04-04 00:02:44:554
1.75615,8.73944,4.41192,-0.01971,0.00613,-0.00213,225509,2016-04-04 00:02:44:654
1.8561,8.57603,4.46638,0.01944,-0.01411,-0.01971,225609,2016-04-04 00:02:44:754
1.83396,8.78971,4.29819,0.01944,-0.01411,-0.01971,225709,2016-04-04 00:02:44:854
1.83575,8.61434,4.4598,-0.05459,0.00639,-0.0245,225809,2016-04-04 00:02:44:954
1.87406,8.69035,4.45561,-0.03143,-0.00613,-0.01891,225909,2016-04-04 00:02:45:054
1.87406,8.69035,4.45561,-0.01811,-0.00692,-0.01225,226009,2016-04-04 00:02:45:154
1.93571,8.61494,4.48195,-0.01385,-0.00559,-0.02557,226109,2016-04-04 00:02:45:254
1.84533,8.5904,4.26288,-0.03808,-0.00905,-0.01198,226210,2016-04-04 00:02:45:355
1.88543,8.6305,4.50409,-0.03808,-0.00905,-0.01198,226310,2016-04-04 00:02:45:455
1.86688,8.62511,4.48793,-0.01092,-0.00533,-0.02344,226410,2016-04-04 00:02:45:555
1.90459,8.65564,4.4604,0.00213,0.00133,-0.02397,226510,2016-04-04 00:02:45:655
1.90459,8.65564,4.4604,0.0767,-0.0016,-0.04155,226609,2016-04-04 00:02:45:754
1.82737,8.69215,4.26826,-0.00533,-0.00266,-0.01971,226709,2016-04-04 00:02:45:854
1.8998,8.65983,4.45022,-0.01411,0.00107,-0.03116,226809,2016-04-04 00:02:45:954
1.84174,8.63409,4.40413,-0.01411,0.00107,-0.03116,226909,2016-04-04 00:02:46:054
1.84713,8.72687,4.30118,0.01571,-0.00852,-0.0269,227009,2016-04-04 00:02:46:154
1.8154,8.74482,4.49392,0.00453,-0.00133,-0.03249,227111,2016-04-04 00:02:46:256
1.8154,8.74482,4.49392,-0.01119,-5.3E-4,-0.0237,227209,2016-04-04 00:02:46:354
1.80403,8.67419,4.25749,-0.01039,-0.00373,-0.02423,227309,2016-04-04 00:02:46:454
1.79266,8.76098,4.35924,-0.01997,-0.0016,-0.02503,227409,2016-04-04 00:02:46:554
1.79625,8.7113,4.33051,-0.01438,-0.00453,-0.02423,227510,2016-04-04 00:02:46:655
1.82318,8.70592,4.34967,-0.01438,-0.00453,-0.02423,227609,2016-04-04 00:02:46:754
1.85192,8.70412,4.3772,-0.02956,-0.00533,-0.01598,227710,2016-04-04 00:02:46:855
1.83516,8.68557,4.37181,-0.02557,-0.00373,-0.02131,227810,2016-04-04 00:02:46:955
1.83516,8.68557,4.37181,-0.04075,-0.00346,-0.01598,227909,2016-04-04 00:02:47:054
1.86688,8.6712,4.45142,-0.00107,-0.00879,-0.01385,228009,2016-04-04 00:02:47:154
1.85072,8.71729,4.43286,-0.0221,0.0,-0.03169,228110,2016-04-04 00:02:47:255
1.84354,8.6311,4.4616,-0.0221,0.0,-0.03169,228209,2016-04-04 00:02:47:354
1.86329,8.63948,4.45381,-0.02823,-0.00719,-0.01119,228310,2016-04-04 00:02:47:455
1.91955,8.62451,4.55856,-0.01332,0.0024,-0.02344,228409,2016-04-04 00:02:47:554
1.91955,8.62451,4.55856,-0.0032,-0.00373,-0.02716,228509,2016-04-04 00:02:47:654
1.8585,8.62032,4.47776,-0.01598,-0.0016,-0.0229,228609,2016-04-04 00:02:47:754
1.85491,8.61075,4.50888,-0.01598,-0.0016,-0.0229,228710,2016-04-04 00:02:47:855
1.86927,8.6317,4.48973,-0.01225,-0.00426,-0.02264,228810,2016-04-04 00:02:47:955
1.88783,8.62511,4.5011,-0.00879,0.00133,-0.0221,228909,2016-04-04 00:02:48:054
1.8567,8.59578,4.46279,-0.00613,2.7E-4,-0.02344,229009,2016-04-04 00:02:48:154
1.8567,8.59578,4.46279,0.04261,-0.00213,-0.03409,229110,2016-04-04 00:02:48:255
1.901,8.62451,4.52744,0.00826,0.00719,-0.02637,229210,2016-04-04 00:02:48:355
1.87526,8.58621,4.49092,0.03009,-5.3E-4,-0.03489,229309,2016-04-04 00:02:48:454
1.82678,8.6724,4.45441,0.03009,-5.3E-4,-0.03489,229410,2016-04-04 00:02:48:555
1.87526,8.65504,4.43646,0.01758,-0.00719,-0.0229,229509,2016-04-04 00:02:48:654
1.8172,8.70412,4.34129,0.02796,-0.00346,-0.03276,229611,2016-04-04 00:02:48:756
1.8172,8.70412,4.34129,0.00985,-0.00586,-0.0261,229710,2016-04-04 00:02:48:855
1.82977,8.7137,4.32692,0.01145,-0.0024,-0.0285,229810,2016-04-04 00:02:48:955
1.82318,8.72387,4.32632,5.3E-4,-8.0E-4,-0.02503,229910,2016-04-04 00:02:49:055
1.85491,8.69694,4.30777,5.3E-4,-8.0E-4,-0.02503,230009,2016-04-04 00:02:49:154
1.83456,8.68796,4.18447,-0.00799,-2.7E-4,-0.02743,230109,2016-04-04 00:02:49:254
1.79086,8.72986,4.34248,-0.01438,-0.00586,-0.02104,230210,2016-04-04 00:02:49:355
1.79086,8.72986,4.34248,-0.0285,-0.00905,-0.01518,230309,2016-04-04 00:02:49:454
1.79685,8.72926,4.3772,-0.03675,-0.00666,-0.01811,230410,2016-04-04 00:02:49:555
1.86389,8.68976,4.4167,-0.00772,-0.0024,-0.02716,230509,2016-04-04 00:02:49:654
1.82498,8.68377,4.30717,-0.00772,-0.0024,-0.02716,230609,2016-04-04 00:02:49:754
1.84174,8.65504,4.42748,-0.03063,-0.0032,-0.01704,230709,2016-04-04 00:02:49:854
1.84773,8.66282,4.43167,-0.01971,-0.00266,-0.02024,230809,2016-04-04 00:02:49:954
1.84773,8.66282,4.43167,-0.02344,-0.00373,-0.01944,230909,2016-04-04 00:02:50:054
1.84773,8.65384,4.43526,-0.01252,-0.0032,-0.02237,231009,2016-04-04 00:02:50:154
1.8154,8.68197,4.40234,-0.00506,0.01172,-0.0245,231111,2016-04-04 00:02:50:256
1.90159,8.60476,4.43885,-0.00506,0.01172,-0.0245,231210,2016-04-04 00:02:50:355
1.85251,8.6311,4.44124,-0.02131,-0.00133,-0.0229,231310,2016-04-04 00:02:50:455
1.8597,8.63828,4.48913,-0.02131,-0.01092,-0.02131,231409,2016-04-04 00:02:50:554
1.8597,8.63828,4.48913,-0.00826,-0.00213,-0.02237,231509,2016-04-04 00:02:50:654
1.84054,8.66162,4.45082,-0.00479,-0.00905,-0.02184,231610,2016-04-04 00:02:50:755
1.84114,8.66881,4.47716,-0.00426,-0.00533,-0.0221,231710,2016-04-04 00:02:50:855
1.8597,8.61254,4.5011,-0.00426,-0.00533,-0.0221,231810,2016-04-04 00:02:50:955
1.89322,8.62451,4.47177,0.01252,-0.00213,-0.02423,231909,2016-04-04 00:02:51:054
1.86867,8.63349,4.4167,0.01385,0.00373,-0.03036,232009,2016-04-04 00:02:51:154
1.86867,8.63349,4.4167,0.01571,0.00213,-0.03515,232109,2016-04-04 00:02:51:254
1.88843,8.62272,4.35924,0.01917,-0.00479,-0.0229,232210,2016-04-04 00:02:51:355
1.7765,8.67599,4.31914,0.00692,-0.00107,-0.0221,232309,2016-04-04 00:02:51:454
1.86209,8.68976,4.3347,0.00692,-0.00107,-0.0221,232411,2016-04-04 00:02:51:556
1.85551,8.73285,4.34069,-0.00453,-0.00346,-0.02823,232510,2016-04-04 00:02:51:655
1.84473,8.68437,4.34787,0.01012,-0.00213,-0.03329,232609,2016-04-04 00:02:51:754
1.84473,8.68437,4.34787,-0.01305,-0.00559,-0.01651,232710,2016-04-04 00:02:51:855
1.82378,8.71908,4.35864,-0.03009,-0.00479,-0.01864,232810,2016-04-04 00:02:51:955
1.79864,8.70891,4.35565,-0.04208,-0.00213,-0.01811,232909,2016-04-04 00:02:52:054
1.7735,8.6712,4.42329,-0.04208,-0.00213,-0.01811,233009,2016-04-04 00:02:52:154
1.86149,8.67898,4.32393,-0.02743,-0.00266,-0.01465,233109,2016-04-04 00:02:52:254
1.8172,8.68078,4.39336,-0.03595,-0.00586,-0.01465,233209,2016-04-04 00:02:52:354
1.8172,8.68078,4.39336,-0.0261,-0.00639,-0.01891,233310,2016-04-04 00:02:52:455
1.87765,8.64187,4.47416,-0.0261,-0.00506,-0.01598,233409,2016-04-04 00:02:52:554
1.82917,8.64606,4.41132,-0.0277,-0.00666,-0.01598,233510,2016-04-04 00:02:52:655
1.86927,8.60237,4.48254,-0.0277,-0.00666,-0.01598,233610,2016-04-04 00:02:52:755
1.8585,8.61853,4.49092,-0.00586,-0.00639,-0.01997,233710,2016-04-04 00:02:52:855
1.87227,8.61075,4.51965,-0.0261,-0.00692,-0.01731,233809,2016-04-04 00:02:52:954
1.87227,8.61075,4.51965,-0.00613,-0.00373,-0.0285,233909,2016-04-04 00:02:53:054
1.87885,8.63768,4.5418,-0.01305,-0.00186,-0.02104,234009,2016-04-04 00:02:53:154
1.87945,8.58321,4.49212,0.03356,-0.00692,-0.03515,234109,2016-04-04 00:02:53:254
1.96265,8.60057,4.48075,0.03356,-0.00692,-0.03515,234210,2016-04-04 00:02:53:355
1.90997,8.60596,4.57113,-0.01678,-8.0E-4,-0.0253,234310,2016-04-04 00:02:53:455
1.86029,8.62511,4.45142,0.01784,0.00879,-0.02663,234409,2016-04-04 00:02:53:554
1.86029,8.62511,4.45142,0.01438,-0.00186,-0.03009,234509,2016-04-04 00:02:53:654
1.8974,8.63289,4.4586,0.03116,-0.01092,-0.01278,234610,2016-04-04 00:02:53:755
1.79685,8.66881,4.39456,0.03249,-0.01145,-0.02317,234709,2016-04-04 00:02:53:854
1.84952,8.68676,4.4185,0.03249,-0.01145,-0.02317,234809,2016-04-04 00:02:53:954
1.83875,8.70292,4.32333,0.02131,2.7E-4,-0.04075,234909,2016-04-04 00:02:54:054
1.84533,8.72447,4.43346,-0.03489,-0.00533,-0.01971,235010,2016-04-04 00:02:54:155
1.84533,8.72447,4.43346,-0.04394,-0.00426,0.00346,235110,2016-04-04 00:02:54:255
1.85551,8.6712,4.42209,0.02157,0.00506,-0.04501,235209,2016-04-04 00:02:54:354
1.84952,8.66701,4.36643,0.00293,5.3E-4,-0.02743,235309,2016-04-04 00:02:54:454
1.82259,8.67479,4.36463,0.00293,5.3E-4,-0.02743,235409,2016-04-04 00:02:54:554
1.84054,8.71849,4.37481,0.02184,-0.00133,-0.03222,235509,2016-04-04 00:02:54:654
1.93033,8.59339,4.55138,-0.0775,-0.00799,-0.0016,235609,2016-04-04 00:02:54:754
1.93033,8.59339,4.55138,-0.00879,-0.00479,-0.02663,235709,2016-04-04 00:02:54:854
1.78368,8.6724,4.39935,-0.03196,-0.00213,-0.01678,235810,2016-04-04 00:02:54:955
1.93511,8.62451,4.48015,-0.01811,-2.7E-4,-0.02344,235909,2016-04-04 00:02:55:054
